Symbols,Cluster
Nudt21,2
Kars,3
Clec10a,1
Slco4a1,7
Mylip,7
Rpa1,3
Tomm7,2
Gdi1,6
Cfdp1,2
Tpd52,2
Rilpl2,1
C1qa,6
Ms4a7,1
Orai1,5
Pqlc2,4
Abhd17a,3
Ccl3,6
Sh3bgrl3,1
Cd52,4
Rad51,2
Cpd,4
Snrpa1,2
Jam2,7
Mrpl36,2
Rasal3,6
Slc4a1,4
Actr3,1
Ezh2,3
Spns2,7
Cct6a,2
Rasa4,6
Eif4ebp2,2
Rilpl1,6
Epb4.1l2,6
Cbx5,3
Nme2,2
Ier2,6
Hmmr,3
Gm996,7
Oat,2
Dse,1
Eps8,1
Icosl,6
Pop5,2
Prtn3,2
Cenpn,3
Tef,7
Ap2m1,1
Arap3,6
Pde3b,5
Myl6,2
Kcnab2,1
Ptms,5
Hps4,6
Cirbp,7
Arid3a,2
Taldo1,3
Lilrb4,1
Rab32,2
Slc25a5,2
Snta1,5
Parvg,5
Ccnd3,3
Atad2,3
Scaf1,7
Mis18a,2
Scnm1,5
Plec,1
Rpa2,3
Adrbk2,5
Mpeg1,5
Acox3,6
Dagla,7
Kif18b,4
Fcrls,5
Ptk2b,6
Rps29,4
Myo18b,5
Sf3b5,2
Fam102b,7
Txndc17,1
Oip5,2
Cdca5,3
Rps26,3
Mcm3,3
Pfn1,1
Hdgf,3
Tcf19,3
Tmpo,3
Rps10,2
Tfec,1
Rcc2,3
Eif3h,3
Pla2g7,1
Tnfsf12,7
Rgl2,6
Mag,6
Itgal,3
Map1lc3a,6
Arhgap39,6
Pknox1,7
Hnrnpa3,3
H2-Ab1,6
Mt1,2
Pin1,2
Arvcf,7
Ctc1,7
Cyb5b,2
B4galt4,6
Cx3cr1,6
Gabbr1,6
Tmem8c,7
E2f8,3
Gipc1,1
Slc29a3,6
Rpl37a,2
Mad2l1,2
Polr1c,4
Car2,4
Elavl3,3
Nbeal2,7
Tubb2a,3
Tmem259,5
Tlr12,7
Atp5a1,2
Mrpl27,1
Cfb,1
Snrpc,2
Gm4980,6
Basp1,6
Gna15,6
Ccr5,6
Phb2,2
Tomm70a,3
Tmem204,7
Dera,2
Rhoc,1
Ncapd2,3
Fyn,3
Hspa9,2
Tma7,2
Rtp4,1
Rpl23,2
Cmc2,2
Ehd4,1
Tmem88,2
Atpif1,2
Scamp5,5
Hist2h2aa2,7
Plcb2,6
Pygm,4
B4galnt1,5
Cerk,6
Cd68,7
Topbp1,3
Bola3,2
Os9,5
Ppp1r9a,5
Ccdc134,5
Ranbp1,2
Hist2h2aa1,7
Clta,1
Sox11,3
Ezr,3
Slc16a6,6
Ctsc,1
Gcnt1,7
Hmgn1,3
Eme1,2
Clic4,1
Plod3,5
Trip13,2
Ndufa8,3
Bco2,7
Slc35c2,5
Cln6,4
Nudc,3
Tspan18,7
Psmc1,3
Rpl11,2
Cct2,2
Ivns1abp,6
Ckap2,3
Snx6,1
Gmpr,5
Ahcy,3
Eif2s1,2
Npm1,3
Haus4,3
Sulf2,5
Lamtor2,3
Abcc5,6
Msrb1,1
Efnb1,6
Nfix,6
Hnrnpm,3
Rps5,2
Cox4i1,4
Plxnc1,1
Pnrc1,7
Plin3,1
Cib1,2
Pabpc1,3
Mbd2,2
Ski,6
Cd36,1
Pla2g15,6
Dnmt1,3
Mrc2,7
Mpi,5
