Symbols,cluster
Vkorc1,3
Sec14l1,3
Foxp1,3
Sec62,3
S1pr1,3
Pon2,3
Scamp2,3
Acat1,3
Tspan17,3
Rgs18,3
Borcs6,3
Unc93b1,3
Cd48,3
H2afv,3
Gpr183,3
Zcchc6,3
Slc9a3r2,3
Pts,3
Tnfaip8l2,3
Slco2b1,3
Hfe,3
Lipa,3
Serpinb1a,3
Tmem141,3
Ifi207,3
Cd33,3
Sh3bgrl,3
Akr1b3,3
Tsen34,3
Retnla,3
AI467606,3
Ralbp1,3
Comt,3
Ahnak2,3
Ndfip1,3
Trmt1,3
Foxn3,3
Snx6,3
Anp32a,3
Hp1bp3,3
Trim47,3
Tnfsf12,3
Ppp3ca,3
Snx8,3
Cln8,3
Nisch,3
Ndufs7,3
Spred1,3
Rsrp1,3
Smim10l1,3
Slc29a1,3
Dguok,3
Cdkn2c,3
Mbnl1,3
Rnf130,3
Hmgn1,3
Mindy2,3
Ssh2,3
Eid1,3
Ifi203,3
Mid1ip1,3
Stk17b,3
Ly96,3
Tex264,3
Dnase1l1,3
Sdhc,3
Anxa11,3
Leprot,3
Tprgl,3
Fam46a,3
Itpripl2,3
Zbtb20,3
Tacc1,3
Acot13,3
Pkig,3
Dusp6,3
Oat,3
Rab31,3
Fcgr2b,3
Pgrmc1,3
Fcho2,3
Nudt9,3
Ap2m1,3
Fnta,3
Hcst,3
Cltb,3
Tep1,3
Nenf,3
Prcp,3
Tmem106a,3
Ptafr,3
Cnpy2,3
Pdlim4,3
Slc48a1,3
Tcn2,3
Sbds,3
Mndal,3
Pf4,4
Mrc1,4
Mt1,4
Mt2,4
Igfbp4,4
Malat1,4
Cd81,4
Mgl2,4
Ighm,4
Dab2,4
Fxyd2,4
Cd36,4
Jund,4
Egr1,4
Selenop,4
Gas7,4
Lifr,4
Slamf9,4
H2-Eb1,4
Serinc3,4
Aqp1,4
Cd93,4
Mafb,4
Rtn4,4
H2-Aa,4
Klf6,4
Tmem176b,4
Mtss1,4
H2-Ab1,4
Lyz1,4
Clec10a,4
Txnip,4
Igf1,4
Cd163,4
Zfp36l1,4
Clec12a,4
Ehd4,4
Cd74,4
Atp2b1,4
Ccl24,4
Ap2a2,4
Mef2c,4
Maf,4
Rnd3,4
Wwp1,4
Rbpj,4
Lpl,4
Snx5,4
Cltc,4
Dok2,4
Tmem176a,4
Ms4a7,4
Tubb2a,4
Fosb,4
Gm42418,4
Atf3,4
Cd33,4
Irf2bp2,4
Dse,4
mt-Co1,4
Sdc3,4
Metrnl,4
Frmd4b,4
Alox5,4
Klf4,4
Hspa1a,4
Wnk1,4
Retnla,4
Ptms,4
Ppp3ca,4
Ier2,4
Rab7b,4
Nfkbiz,4
Jun,4
Klf2,4
Marcksl1,4
Cstb,5
Txn1,5
Bdh2,5
Spp1,5
Cav1,5
Sdc1,5
Cd44,5
Kcnn4,5
Mmp14,5
Mif,5
Aprt,5
Rpl41,5
S100a10,5
Pdpn,5
S100a4,5
Anxa1,5
Lgals3,5
Lmna,5
Arg1,5
Vim,5
Slc37a2,5
Nme1,5
Malt1,5
Usmg5,5
Rpl38,5
Bola2,5
Rps26,5
Rai14,5
Rps8,5
Clec4d,5
Rpl37a,5
Ptma,5
Anxa2,5
Fn1,5
Lgals1,5
Ran,5
Tuba1c,5
Adam8,5
Rgcc,5
S100a11,5
Pgk1,5
Sema4d,5
Rps27a,5
Nrp2,5
Gapdh,5
Tpt1,5
Sdc4,5
Cycs,5
Atp5l,5
Rplp2,5
Nsd2,5
Rbm3,5
Rps27l,5
Sms,5
Hilpda,5
Cox5a,5
Nfatc1,5
Eif4a1,5
2010107E04Rik,5
Il1rn,5
Timp1,5
Anxa5,5
Fabp5,5
Hsp90aa1,5
Gm10076,5
Rps3a1,5
Clec4e,5
Calm1,5
Atp5k,5
Rpl35,5
Bhlhe40,5
Atp5e,5
Ppa1,5
Atp6v0e,5
Ybx3,5
Uqcrb,5
Acot7,5
Odc1,5
Rnf149,5
Rps2,5
Mrpl52,5
Nhp2,5
Timm13,5
Rbx1,5
Pgam1,5
Timm8a1,5
Eef1g,5
Rpl22,5
Bax,5
Tcirg1,5
Snrpe,5
S100a6,5
Atp5g1,5
Cxcl2,5
Plin2,5
Rpl39,5
Tsc22d1,5
Glrx,5
Psmb5,5
Ldha,5
Traf1,5
Tpm1,5
Efhd2,5
Nfkbia,5
Eef1e1,5
Acp5,5
Npm1,5
Zfp593,5
Rps19,5
mt-Cytb,5
Gna13,5
Atox1,5
Rala,5
Snhg6,5
Ranbp1,5
Cox6b1,5
Tpi1,5
Btg1,5
Ncl,5
Atpif1,5
Rps3,5
B4galt1,5
Cox17,5
Rps10,5
mt-Nd1,5
Rpl23,5
Ak2,5
M6pr,5
Rnf19b,5
Pkm,5
Rps17,5
Mrps28,5
Itgav,5
Ctsk,5
Mrpl12,5
Usp50,5
Rpl36al,5
Osbpl8,5
Chchd2,5
Sec61b,5
Mdm2,5
Atp6v1b2,5
Pno1,5
Ckap4,5
Nop58,5
Mmp19,5
Lasp1,5
Mcl1,5
Pfn1,5
Psmb6,5
Eif3j1,5
Atp5g3,5
Eif2s2,5
Rpl36a,5
Atp6v1e1,5
Hspd1,5
Cox7c,5
Nsun2,5
Eif6,5
Hnrnpab,5
Rps15a,5
Agpat4,5
Cox7b,5
Ifrd1,5
Hspe1,5
Uqcrq,5
Apobec1,5
Cct3,5
Adssl1,5
Set,5
Agpat5,5
Snrpf,5
Snrpd1,5
Psma3,5
Naa50,5
Fam162a,5
Sod2,5
Ehd1,5
Cox7a2,5
Gnl3,5
Chchd4,5
Llph,5
Avpi1,5
Uqcr11,5
Txnrd1,5
Emc6,5
Nus1,5
Atp6v1g1,5
Azin1,5
Timm10,5
Timm17a,5
Nolc1,5
Furin,5
BC005537,5
Tomm20,5
Erh,5
Rps18,5
Hif1a,5
Mdh2,5
Nip7,5
Ndufb6,5
Eif5a,5
Cav2,5
Mrto4,5
Rpl27,5
Snrpd3,5
Nudcd2,5
Snrpd2,5
Psmd14,5
Cops9,5
U2af1,5
Rpl12,5
Srsf7,5
Tomm5,5
Aldoa,5
C1qbp,5
Rps21,5
Polr2k,5
Gcsh,5
Clec4n,5
Plxnd1,5
Cct8,5
Jarid2,5
Pfdn4,5
Serbp1,5
Eno1,5
Apex1,5
Fam129b,5
Ube2a,5
Eif1ax,5
Cited2,5
Mrpl54,5
Higd1a,5
Ak6,5
Ufm1,5
Ywhag,5
Taf1d,5
Atp6v1c1,5
Rps12,5
Rack1,5
Gngt2,5
Anp32b,5
Fbl,5
Eif2s1,5
Itga5,5
Dnajc2,5
Actr2,5
Ndufc1,5
Esd,5
Nop56,5
Tubb4b,5
Rpl5,5
Ndufab1,5
Tubb6,5
Ube2l3,5
Ctsl,5
Psmb7,5
Ndufc2,5
Mrps14,5
Tomm40,5
Hsp90ab1,5
Hnrnpa1,5
Dtymk,5
Cct2,5
Ptbp3,5
Rplp1,5
Lpl,5
Atp5o,5
Map4k4,5
Ebna1bp2,5
Eif4g2,5
Hdgf,5
Ybx1,5
Npm3,5
Mrpl20,5
Tnfaip3,5
G3bp1,5
Impdh2,5
Hspa9,5
Snu13,5
Pik3r5,5
Pa2g4,5
Uqcr10,5
Romo1,5
Psma6,5
Banf1,5
Tctex1d2,5
Magoh,5
Slirp,5
Ywhaz,5
Lfng,5
Ppp2ca,5
Pcbp1,5
Polr2l,5
Hnrnpa0,5
mt-Nd3,5
1810022K09Rik,5
Srsf3,5
Fcf1,5
Sfpq,5
Ddt,5
Id2,5
Prmt1,5
Lsm7,5
Sod1,5
Atp6v1a,5
Mrpl23,5
Ndufs6,5
Rpl22l1,5
Nceh1,5
Tnfaip2,5
Tcp1,5
Nop10,5
Gpr137b,5
Arf6,5
mt-Atp8,5
Slc43a2,5
Phb2,5
Cxcl16,5
Gm42418,5
Ezr,5
Sqstm1,5
Sgk1,5
Atp6v1d,5
Ms4a7,5
Klrd1,6
H2-DMb2,6
Cd209a,6
Klrk1,6
Klrb1b,6
